"Date","Time","Open","High","Low","Close","Up","Down"
12/20/2018,23:00,1484.40,1506.58,1479.03,1503.55,350895,409054
12/20/2018,23:30,1502.56,1509.50,1487.66,1490.80,186941,195967
12/21/2018,00:00,1491.52,1494.95,1478.01,1487.16,191178,180355
12/21/2018,00:30,1486.40,1488.27,1450.20,1456.34,238469,261574
12/21/2018,01:00,1455.70,1459.73,1432.69,1445.78,256949,260601
12/21/2018,01:30,1446.47,1462.52,1441.57,1461.56,217620,188513
12/21/2018,02:00,1461.68,1467.35,1445.52,1456.00,121697,129917
12/21/2018,02:30,1456.18,1458.72,1445.00,1454.00,69214,81509
12/21/2018,03:00,1452.58,1454.83,1443.28,1448.48,99184,102686
12/21/2018,03:30,1448.77,1459.67,1434.08,1458.42,184785,215146
12/21/2018,04:00,1458.15,1476.00,1453.25,1467.84,181691,170384
12/21/2018,04:30,1467.59,1474.06,1455.00,1462.41,131107,137116
12/21/2018,05:00,1462.09,1471.00,1451.30,1461.29,209526,210659
12/21/2018,23:00,1478.63,1478.63,1436.49,1441.77,301137,330968
12/21/2018,23:30,1441.77,1459.47,1426.16,1450.80,318556,334077
12/22/2018,00:00,1451.55,1452.69,1432.44,1435.11,117733,134023
12/22/2018,00:30,1434.00,1434.00,1411.17,1427.25,218332,242158
12/22/2018,01:00,1427.94,1430.82,1406.00,1407.00,172293,177026
12/22/2018,01:30,1407.00,1407.00,1381.32,1384.94,307674,365712
12/22/2018,02:00,1385.03,1406.54,1375.72,1392.83,282028,284549
12/22/2018,02:30,1392.87,1406.00,1387.45,1394.47,148815,139989
12/22/2018,03:00,1394.27,1405.79,1388.94,1393.33,148464,149524
12/22/2018,03:30,1393.21,1402.31,1385.47,1391.88,147664,147009
12/22/2018,04:00,1392.68,1398.31,1385.31,1393.13,132145,128016
12/22/2018,04:30,1393.47,1395.45,1373.00,1373.00,182204,209637
12/22/2018,05:00,1373.81,1382.43,1363.96,1376.73,527307,445815
12/24/2018,23:00,1345.45,1363.20,1307.00,1325.04,465701,691592
12/24/2018,23:30,1324.67,1363.01,1320.00,1357.58,375030,342218
12/25/2018,00:00,1358.22,1396.03,1351.06,1380.75,342494,310043
12/25/2018,00:30,1380.82,1385.99,1360.28,1364.55,147236,144872
12/25/2018,01:00,1363.50,1370.00,1350.00,1353.03,143685,148147
12/25/2018,01:30,1353.51,1361.50,1340.00,1345.55,132172,151527
12/25/2018,02:00,1345.86,1356.75,1340.00,1342.91,194173,185366
12/25/2018,02:30,1342.74,1345.00,1333.31,1336.85,190996,10224
12/25/2018,03:00,1336.85,1343.96,1335.00,1335.50,4202,3465
12/25/2018,03:30,1335.00,1343.96,1334.50,1336.54,4167,3156
12/25/2018,04:00,1336.00,1337.00,1334.50,1335.64,852,1877
12/25/2018,04:30,1335.00,1336.89,1334.00,1336.00,807,667
12/25/2018,05:00,1336.00,1337.00,1334.00,1335.69,1068,1619
12/26/2018,23:00,1370.00,1411.20,1368.06,1377.00,440440,503826
12/26/2018,23:30,1377.72,1386.00,1364.50,1373.27,210577,225285
12/27/2018,00:00,1373.04,1380.00,1363.01,1366.76,156059,150683
12/27/2018,00:30,1367.11,1396.99,1364.42,1394.48,187115,162257
12/27/2018,01:00,1395.17,1409.35,1390.20,1409.35,240109,196599
12/27/2018,01:30,1408.99,1425.53,1405.38,1413.62,234744,222788
12/27/2018,02:00,1414.53,1439.33,1412.00,1436.76,180109,174455
12/27/2018,02:30,1437.22,1439.25,1415.98,1428.11,150425,150702
12/27/2018,03:00,1427.18,1440.82,1423.77,1439.00,136830,113070
12/27/2018,03:30,1439.98,1440.00,1427.18,1430.84,126436,132522
12/27/2018,04:00,1430.97,1443.44,1430.97,1440.77,157477,137688
12/27/2018,04:30,1440.60,1450.95,1439.99,1448.74,203656,197460
12/27/2018,05:00,1448.20,1473.16,1447.21,1470.31,407439,390141
12/27/2018,23:00,1454.95,1461.04,1430.40,1443.03,442596,342077
12/27/2018,23:30,1443.02,1448.64,1407.50,1416.00,258805,301919
12/28/2018,00:00,1414.91,1434.48,1409.00,1422.90,245945,218282
12/28/2018,00:30,1422.45,1432.63,1414.00,1431.94,163169,126582
12/28/2018,01:00,1431.51,1435.82,1415.72,1421.71,131922,128516
12/28/2018,01:30,1421.00,1422.01,1403.28,1406.93,133251,167099
12/28/2018,02:00,1406.65,1416.00,1404.80,1415.25,99038,81120
12/28/2018,02:30,1414.01,1416.11,1406.06,1406.98,60313,81781
12/28/2018,03:00,1406.19,1409.73,1391.00,1396.59,113889,139497
12/28/2018,03:30,1396.39,1403.48,1390.31,1403.33,124526,102037
12/28/2018,04:00,1402.90,1422.29,1397.41,1419.50,174209,156506
12/28/2018,04:30,1419.52,1446.83,1410.00,1445.36,315438,242832
12/28/2018,05:00,1445.59,1469.00,1436.75,1463.25,459763,413307
12/28/2018,23:00,1471.63,1478.00,1455.55,1474.31,358619,383378
12/28/2018,23:30,1474.00,1474.49,1451.23,1455.01,163550,178508
12/29/2018,00:00,1453.48,1471.17,1449.00,1463.84,174463,145186
12/29/2018,00:30,1464.94,1472.60,1459.83,1471.28,129903,111716
12/29/2018,01:00,1471.04,1486.60,1469.61,1483.39,166764,142627
12/29/2018,01:30,1483.33,1489.06,1477.41,1484.48,145230,142297
12/29/2018,02:00,1485.99,1490.27,1481.34,1484.73,107668,93080
12/29/2018,02:30,1485.15,1493.89,1483.06,1487.51,114502,109089
12/29/2018,03:00,1488.00,1492.88,1482.00,1490.33,86166,75569
12/29/2018,03:30,1491.47,1503.15,1490.93,1499.13,205994,167942
12/29/2018,04:00,1499.33,1512.34,1497.71,1511.42,169541,149332
12/29/2018,04:30,1511.47,1513.47,1485.09,1490.14,225625,289063
12/29/2018,05:00,1490.51,1490.79,1472.62,1477.78,244953,294066
12/31/2018,23:00,1510.65,1520.76,1500.00,1509.05,328491,417920
12/31/2018,23:30,1509.58,1513.15,1491.14,1500.88,187731,193818
01/01/2019,00:00,1501.34,1502.74,1488.97,1492.85,120930,132547
01/01/2019,00:30,1492.50,1498.50,1487.00,1495.00,125269,137201
01/01/2019,01:00,1494.00,1512.50,1487.53,1508.50,156918,145566
01/01/2019,01:30,1507.63,1514.41,1505.04,1512.95,115462,107691
01/01/2019,02:00,1513.24,1519.69,1510.28,1516.53,124607,96620
01/01/2019,02:30,1516.29,1520.37,1514.30,1518.88,113089,105244
01/01/2019,03:00,1519.40,1519.40,1504.61,1507.33,68540,101518
